name,id
Emily Akin Fox 26,401374893240473
Emily Dishnow,197938456897228
Emily Rau,263978673710570
Emily Sinovic,206744896066013
Emma Jade 12 News,764978816914005
Eric Burris - Meteorologist,225578757456655
Eric Fisher,134177636620765
Eric Halperin- WOWK 13 News,893972033982925
Eric Horng ABC7,554686124542063
Eric Johnson KOMO,138262566235278
Eric Perkins,191754220868676
Eric T. Tung,882448358501371
Erica Rico,466376503394933
Erick Weber,312446829961
Erik Elken,247170115485037
Erik Tyger KPLC,1449181105367423
Erika Ferrando THV11,329918613828459
Erika Tarantal,335571389870495
Erin Carroll,520584011407984
Erin Clanahan Action News Jax,256230804501683
Erin Coleman,213170342061691
Erin Ivory,215549305137601
Erin Moriarty CBS News,124430920921629
Erin Myers,1624847814448140
Erin Pickens - 16 WAPT,151519774868253
Erin Yost,104573672926367
Ernie Anastos Fox 5,150454461686323
Essex Porter,506978609402712
Eun Yang,181212421920897
Evan Anderson,429707323750302
Evan Fitzgerald Fox 32 Chicago,222100737599
Evan Kruegel CBS58,473548362744504
Evelyn Holmes ABC7,138903722939794
Evelyn Taft,1561477874078417
Face The State with Scott Light,1489609984689779
Farnoosh Torabi,372708786092940
Father Michael Pfleger,85050634406
Felicia Lawrence FOX 46,724197594261669
First Lady Chirlane McCray,1394539157425140
Foodbeast,171981399280
Foodgasmguy,107607952614084
FOX 13's Anjuli Davis,471635112855153
FOX 13's Evan Axelbank,197171053812003
FOX 13's Haley Hinds,755342037847472
FOX 13's Scott Smith,340353136070025
FOX 13's Shayla Reaves,142785185762379
FOX 13's Vanessa Ruffes,705947909441406
Fox 26 Meteorologist Mike Iscovitz,60445186541
FOX 9 Chief Meteorologist Ian Leonard,116665895324
FOX23 Chief Meteorologist James Aydelott,108712452487793
FOX23 Meteorologist Ben Walnick,440653049367759
FOX23 Michael Seger,328216047207514
Frank Ski,110190352472
Franklin Graham,131201286936061
Fred Blankenship,105617246169759
Fred Shropshire WCNC,1611316649131174
Fredricka Whitfield CNN,59742389361
Gabe Pressman,219296474785542
Gabe Spiegel Fox 8 News Cleveland,549874065034906
Gabriel Arana,123073547780886
Gail Simmons,108582355827901
Garrett Bedenbaugh,208005689314598
Garrett Haake,709306549095195
Garrett Lewis,288279856331
Gary Ellerson,557415927720841
Gary Horcher,878945468801391
Gary Lezak,165910953435176
Gary Mcgrady Meteorologist FOX 5 DC,290020731127692
Gaynor Hall,1448039512084401
Geoffrey Zakarian,190911137630527
"George Kiriyama, Broadcast Journalist",170585482998021
George Levesque - KTXS,130814310324148
George Pennacchio,314678318722826
George Smith Fox 32 Chicago,872525969529095
Georgette Miller,381011068599437
Gerri Willis,117857438228132
Gianna Caserta,480827678653442
Gigi Stone Woods,1464468043842453
Gina Bullard,503836276357658
Ginger Zee,99902068636
Gino Salomone Critic,190326854396890
Gino Vicci,120265041454545
Gio And Jones,820884541307797
Gio Benitez,1010196695664107
Glenda Lewis,136318353112415
Glenda Lewis,136318353112415
Glenn Burns,233470906830181
Glenn McEntyre,67325804947
Glennon Doyle Melton,178909129709
Gordon Gee,51408506710
Governor Andrew Cuomo,177009292330292
Governor Bruce Rauner,313710615502068
Governor Chris Christie,493471480388
Governor Doug Ducey,407182479403663
Governor Rick Snyder,93955318358
