name,id,category,url,include?,Twitter page,stats,stats_type
Bender,303605935472,Public Figure,http://facebook.com/303605935472,Y,https://twitter.com/TheBenderNation,,
Benji Travis,226111867461603,Public Figure,http://facebook.com/226111867461603,Y,https://twitter.com/BenjiManTV,,
Bernie Sanders,124955570892789,Politician,http://facebook.com/124955570892789,N,,,
Beth Alexander WJTV,151965264825783,News Personality,http://facebook.com/151965264825783,Y,https://twitter.com/BethAlexanderTV,,
Beth and Friends,130867226964060,Public Figure,http://facebook.com/130867226964060,N,,,
Beth Dal Ponte,445497295581292,Journalist,http://facebook.com/445497295581292,Y,https://twitter.com/BDPonte11,,
Bethenny Frankel,43015918590,Public Figure,http://facebook.com/43015918590,N,,,
Betty Nguyen,29632351469,Journalist,http://facebook.com/29632351469,Y,https://twitter.com/Betty_Nguyen,,
Bianca Castro NBC5,515722121860095,Journalist,http://facebook.com/515722121860095,Y,https://twitter.com/BiancaNBC5,,
Bianca Rae,252270344800448,News Personality,http://facebook.com/252270344800448,Y,https://twitter.com/Bianca__Rae,,
Big Budah,83889515347,News Personality,http://facebook.com/83889515347,Y,https://twitter.com/Big_Budah,,
BIG TIGGER,68675420294,Public Figure,http://facebook.com/68675420294,N,,,
Bill Anderson FOX 29,1427275130928631,News Personality,http://facebook.com/1427275130928631,Y,https://twitter.com/BillAFox29,,
Bill Bellis Fox 32 Chicago,187619477942317,News Personality,http://facebook.com/187619477942317,Y,https://twitter.com/BillBellis,,
Bill Evans Meteorologist,1591715391041274,News Personality,http://facebook.com/1591715391041274,Y,https://twitter.com/Evansweather,,
Bill Gates,216311481960,Public Figure,http://facebook.com/216311481960,N,,,
Bill Hemmer,222659047833475,Journalist,http://facebook.com/222659047833475,Y,https://twitter.com/BillHemmer,,
Bill Melugin FOX 46,813125898759777,News Personality,http://facebook.com/813125898759777,Y,https://twitter.com/BillFOX46,,
Bill O'Reilly,408250066356,Public Figure,http://facebook.com/408250066356,N,,,
Bill Ritter,1478254085783659,News Personality,http://facebook.com/1478254085783659,Y,https://twitter.com/billritter7,,
Bill Weir,1618224301743676,Journalist,http://facebook.com/1618224301743676,Y,https://twitter.com/BillWeirCNN,,
Bill Wixey,165784430158234,News Personality,http://facebook.com/165784430158234,Y,https://twitter.com/BillWixey,,
Bill Zwecker Fox 32 Chicago,377363222369726,Journalist,http://facebook.com/377363222369726,Y,https://twitter.com/billzwecker,,
Billie Jean King,14072474437,Athlete,http://facebook.com/14072474437,N,,,
Billie Jean Shaw,577410752335145,News Personality,http://facebook.com/577410752335145,Y,https://twitter.com/BillieJeanTV,,
Billy Gardell,20228115068,Public Figure,http://facebook.com/20228115068,Y,https://twitter.com/BillyGardell,,
Blair Miller FOX25,292438207475,News Personality,http://facebook.com/292438207475,Y,https://twitter.com/BlairMillerTV,,
Blake Hanson,237390839644284,Journalist,http://facebook.com/237390839644284,Y,https://twitter.com/BlakeWSOC9,,
Blaze The Trail Cat,124965974370749,Public Figure,http://facebook.com/124965974370749,Y,https://twitter.com/BlazeRipCity,,
Bob Barnard FOX 5 DC,582967798398770,Journalist,http://facebook.com/582967798398770,Y,https://twitter.com/barnardfox5dc,,
Bob Bartlett,171844669532269,Journalist,http://facebook.com/171844669532269,N,,,
Bob Breck WVUE,765609236836516,News Personality,http://facebook.com/765609236836516,Y,https://twitter.com/BobBreckFOX8,,
Bob DeCastro,594063337398733,News Personality,http://facebook.com/594063337398733,Y,https://twitter.com/bobbydtv,,
Bob Kelly FOX 29,97838745861,Public Figure,http://facebook.com/97838745861,Y,https://twitter.com/bobkellytraffic,,
Bob Kendrick,390473304300265,News Personality,http://facebook.com/390473304300265,Y,https://twitter.com/bobwsyx6,,
Bob Nunnally,101689536540154,News Personality,http://facebook.com/101689536540154,Y,https://twitter.com/BobNBC4,,
Bob Redell,115656228523079,Journalist,http://facebook.com/115656228523079,Y,https://twitter.com/BobNBC,,
Bob Schieffer,52270875867,Public Figure,http://facebook.com/52270875867,Y,https://twitter.com/bobschieffer,,
Bob Segall,139552956125960,News Personality,http://facebook.com/139552956125960,Y,https://twitter.com/BobSegallWTHR,,
Bobbie Thomas,73099721759,Public Figure,http://facebook.com/73099721759,Y,https://twitter.com/BobbieThomas,,
Bobby Carpenter,105503012816251,Athlete,http://facebook.com/105503012816251,N,,,
