name	id	category  url
Jamie Foxx	45320869775	Public Figure	http://facebook.com/45320869775
Carson Daly	304651676362492	Public Figure	http://facebook.com/304651676362492
Bill Hemmer	222659047833475	Journalist	http://facebook.com/222659047833475
Crystal Egger	152813984736352	News Personality	http://facebook.com/152813984736352
Kyla Grogan	295965273853266	News Personality	http://facebook.com/295965273853266
Martha MacCallum	366969367093	Journalist	http://facebook.com/366969367093
Matt Lauer	769775419710104	Journalist	http://facebook.com/769775419710104
Diane Macedo	172531309428293	Journalist	http://facebook.com/172531309428293
Sade Baderinwa	1517449121831735	News Personality	http://facebook.com/1517449121831735
Andrea Grymes	560968277260495	Journalist	http://facebook.com/560968277260495
John Elliott	1664129267175182	News Personality	http://facebook.com/1664129267175182
Landon Collins	767885396642284	Athlete	http://facebook.com/767885396642284
Alex Rodriguez	255853114446305	Athlete	http://facebook.com/255853114446305
Lee Goldberg	311624215690792	News Personality	http://facebook.com/311624215690792
Rashad Jennings	299498006763052	Athlete	http://facebook.com/299498006763052
Ken Rosato	1527850414123180	News Personality	http://facebook.com/1527850414123180
Kathie Lee Gifford	212222774382	Public Figure	http://facebook.com/212222774382
Diana Williams	604563753002744	News Personality	http://facebook.com/604563753002744
Hoda Kotb	308276466518	Journalist	http://facebook.com/308276466518
Megyn Kelly	1425464424382692	Journalist	http://facebook.com/1425464424382692
Odell Beckham Jr	329240773894332	Athlete	http://facebook.com/329240773894332
Prince Amukamara	168950419814656	Athlete	http://facebook.com/168950419814656
Steve Weatherford	163667336988464	Athlete	http://facebook.com/163667336988464
Tracie Strahan	242810565775268	News Personality	http://facebook.com/242810565775268
Andrea Tantaros	659455690742322	News Personality	http://facebook.com/659455690742322
Bill Ritter	1478254085783659	News Personality	http://facebook.com/1478254085783659
Gigi Stone Woods	1464468043842453	Journalist	http://facebook.com/1464468043842453
Herman Cain	235203259169	Public Figure	http://facebook.com/235203259169
Mark Ockerbloom FOX 25	219048231443098	News Personality	http://facebook.com/219048231443098
Mary Calvi	243446402472486	Journalist	http://facebook.com/243446402472486
Sara Gore	143032059063945	Public Figure	http://facebook.com/143032059063945
Marco Rubio	58736997707	Politician	http://facebook.com/58736997707
Oliver North	216940628328775	Public Figure	http://facebook.com/216940628328775
Lauren Scala	206887109343994	News Personality	http://facebook.com/206887109343994
Jill Nicolini	54988254804	News Personality	http://facebook.com/54988254804
Alex Denis	181496361981983	News Personality	http://facebook.com/181496361981983
Tyler Perry	121492378267	Producer	http://facebook.com/121492378267
Rick Perry	22269950408	Politician	http://facebook.com/22269950408
Laura W. Bush	118893778120974	Public Figure	http://facebook.com/118893778120974
Michelle Obama	22092775577	Public Figure	http://facebook.com/22092775577
Newt Gingrich	19182454196	Public Figure	http://facebook.com/19182454196
Dayna Devon	425707784132476	Public Figure	http://facebook.com/425707784132476
Ashleigh Banfield	134954519756	Journalist	http://facebook.com/134954519756
Marla Maples	344446937390	Public Figure	http://facebook.com/344446937390
Congressman Jason Chaffetz	390419731073316	Government Official	http://facebook.com/390419731073316
Barack Obama	6815841748	Politician	http://facebook.com/6815841748
Senator Marco Rubio	178910518800987	Government Official	http://facebook.com/178910518800987
Mike Trout	226709790689478	Athlete	http://facebook.com/226709790689478
Jason Chaffetz	212373730233	Politician	http://facebook.com/212373730233
Christine Romans	111418082214705	Journalist	http://facebook.com/111418082214705
Congressman Darrell E. Issa	131352838109	Politician	http://facebook.com/131352838109
Darrell Issa	19463427992	Government Official	http://facebook.com/19463427992
Curtis Granderson	53927198229	Athlete	http://facebook.com/53927198229
President Bill Clinton	65646572251	Public Figure	http://facebook.com/65646572251
Karl Rove	53243547328	Public Figure	http://facebook.com/53243547328
Mike Huckabee	6934857868	Politician	http://facebook.com/6934857868
CC Sabathia	41318826798	Public Figure	http://facebook.com/41318826798
Jose Bautista	107504482666405	Athlete	http://facebook.com/107504482666405
Donald Rumsfeld	103806706348436	Public Figure	http://facebook.com/103806706348436
Arian Foster	201925469848483	Athlete	http://facebook.com/201925469848483
U.S. Senate Democrats	119747438094459	Government Official	http://facebook.com/119747438094459
Shepard Smith	131010790489	Public Figure	http://facebook.com/131010790489
Robinson Cano	229672873710118	Athlete	http://facebook.com/229672873710118
Jeb Bush	210257445769973	Public Figure	http://facebook.com/210257445769973
Mark Teixeira	204010262957030	Athlete	http://facebook.com/204010262957030
Suzanne Malveaux CNN	120182224719995	Journalist	http://facebook.com/120182224719995
Chelsea Clinton	103551633078066	Public Figure	http://facebook.com/103551633078066
Derek Jeter	177902535594701	Athlete	http://facebook.com/177902535594701
General Colin L. Powell	128391476718	Public Figure	http://facebook.com/128391476718
Sean Hannity	69813760388	Public Figure	http://facebook.com/69813760388
Condoleezza Rice	131831253495741	Public Figure	http://facebook.com/131831253495741
Bret Baier	141513472571212	Public Figure	http://facebook.com/141513472571212
George W. Bush	114546728587728	Public Figure	http://facebook.com/114546728587728
Sarah Palin	24718773587	Politician	http://facebook.com/24718773587
Dennis Miller	122176776390	Public Figure	http://facebook.com/122176776390
Bill O'Reilly	408250066356	Public Figure	http://facebook.com/408250066356
Marshawn Lynch	47383317748	Athlete	http://facebook.com/47383317748
Julian Edelman	128950643812629	Athlete	http://facebook.com/128950643812629
Michelle Malkin	269123710083	Public Figure	http://facebook.com/269123710083
Tom Brady	214003275307497	Athlete	http://facebook.com/214003275307497
JJ Watt	116270911771056	Athlete	http://facebook.com/116270911771056
Pete Carroll	115373925165009	Public Figure	http://facebook.com/115373925165009
Brooke Baldwin	142710795775336	Journalist	http://facebook.com/142710795775336
Kimberly Guilfoyle	70522251795	News Personality	http://facebook.com/70522251795
Troy Aikman	212919242056250	Athlete	http://facebook.com/212919242056250
Greta Van Susteren	158671177481084	Public Figure	http://facebook.com/158671177481084
Eric Bolling	78612416276	Public Figure	http://facebook.com/78612416276
Judge Andrew Napolitano	207770190801	News Personality	http://facebook.com/207770190801
Rob Gronkowski -Gronk	112797068762499	Athlete	http://facebook.com/112797068762499
Laura Ingraham	271042954725	Public Figure	http://facebook.com/271042954725
CJ Nitkowski	22964387029	News Personality	http://facebook.com/22964387029
Dana Perino	125200204167114	Public Figure	http://facebook.com/125200204167114
Patrick Willis	134602129908993	Athlete	http://facebook.com/134602129908993
Bonnie Schneider	127899230573142	Public Figure	http://facebook.com/127899230573142
Greg Gutfeld	280621698709756	News Personality	http://facebook.com/280621698709756
Drew Brees	207038895460	Athlete	http://facebook.com/207038895460
Richard Sherman	141949559213686	Athlete	http://facebook.com/141949559213686
Dez Bryant	221334031270818	Athlete	http://facebook.com/221334031270818
Anquan Boldin	163834243647585	Athlete	http://facebook.com/163834243647585
Varney & Co.	118046684895441	News Personality	http://facebook.com/118046684895441
Tony Romo	430320310416610	Athlete	http://facebook.com/430320310416610
Earl Thomas	186685338204011	Athlete	http://facebook.com/186685338204011
Russell Wilson	320665348016653	Athlete	http://facebook.com/320665348016653
Cam Newton	161257063925693	Athlete	http://facebook.com/161257063925693
DeMarcus Ware	249310658448736	Athlete	http://facebook.com/249310658448736
Robert Griffin III	386180624733248	Athlete	http://facebook.com/386180624733248
Larry Fitzgerald	213911638716638	Athlete	http://facebook.com/213911638716638
Sammy Watkins	274357719397608	Athlete	http://facebook.com/274357719397608
DeSean Jackson	487760671369099	Athlete	http://facebook.com/487760671369099
Emmitt Smith	716246045059412	Athlete	http://facebook.com/716246045059412
Brian Kilmeade	71659602710	Journalist	http://facebook.com/71659602710
Ainsley Earhardt	74395786374	Public Figure	http://facebook.com/74395786374
Brett Favre	183115348447654	Athlete	http://facebook.com/183115348447654
Victor Cruz	156529637781159	Athlete	http://facebook.com/156529637781159
Justin Tuck	47892511938	Athlete	http://facebook.com/47892511938
Gretchen Carlson	89827970972	Journalist	http://facebook.com/89827970972
Adam Schefter	103603076359009	Public Figure	http://facebook.com/103603076359009
Jason Pierre-Paul	1445186359050730	Athlete	http://facebook.com/1445186359050730
Michael Strahan	371884076279620	Public Figure	http://facebook.com/371884076279620
Dwayne The Rock Johnson	406433779383	Public Figure	http://facebook.com/406433779383
Ginger Zee	99902068636	News Personality	http://facebook.com/99902068636
Dolph Lundgren	255792041118852	Public Figure	http://facebook.com/255792041118852
Lis Wiehl, Fox News Legal Analyst and Author	187442562905	Journalist	http://facebook.com/187442562905
Steve Doocy	24528231796	Public Figure	http://facebook.com/24528231796
Cheryl Casone	121224861279504	News Personality	http://facebook.com/121224861279504
