screen_name,id
JenniferProfitt,221823738
JenRobertsNC,50652224
JennyDayTV,106871141
jeremyeisenzopf,138795228
JeremyHubbard,96699263
JRogalskiKHOU,377450833
JerodNBC4,14363660
Jerry10TV,19081254
jerrytaft,14078599
JesseKIRO7,2790369001
JessAguirreNBC,1268237648
donofrioABC7,575693884
jessicamreyes,216252276
Jstarrfox2,240234721
JillNicolini,21096570
TheRealeDeal,27302376
JillSimonian,219408508
JimCantore,21388284
jimdolan7,38197780
JimDuncanNBC12,97116752
Jim_Gardner,15898362
JimHandly,252681042
JimHeathTV,24091188
NYCinvestigates,56692110
jimsciutto,22129280
jimvance4,267912413
JoanLunden,20064866
JoanieLum,211264632
JoannaKIRO7,23445277
wxyzjpurtan,21757508
CBS58Jocelyne,331213033
JoDeeKenney,139228764
jodiewsb,70414365
RealSheriffJoe,44951059
Jbastianich,45828719
joebkgw,508112079
joeclair,31621681
pdxpeacock,19638248
JoeMurgo,42476618
JoeTalkShow,19737700
JoeKENS5,31019595
JoeRoetz,23033763
Joe_Stowell,217835912
joeterrell,19617094
JoelBrownABC11,157506702
joey3harrington,704890209675120640
joeysulipeck,23649923
JohnBerman,20522862
JohnCarterWBTV,125970786
JohnDawsonFox26,567696090
JohnDonnFOX26,575422517
JohnElliottTV,1969455858
JohnGarciaABC7,15488295
abc7johngregory,1623554539
JohnHoltNews,368540082
JohnHookfox10,1370567137
JohnJessupCBN,183212100
KnicelyKIRO7,43971852
JohnLeguizamo,34487135
JohnLomaxWKRC12,1468101146
JNolanWX,267170943
jpweather,111577681
JPaulWSOC9,1074990068
JohnRobisonKCBD,3085004867
JohnSnellFox8,207274913
JohnWaggoner,29300726
JohnnyIuzzini,147668753
_jonkelley,419659300
JonScottFNC,316580588
JonShirek,16385451
TVreporter,24065160
abc7jonathan,165105136
JonVigliotti,30688696
JordanLive5,2172711745
JoseGrinanFOX26,472156260
JoshKKTV,357597523
JoshEiniger7,389582305
JoshWeather,15872923
JoshPoland01,176888443
PDPIOJosh,85662642
abc7jovana,526641040
JovitaMoore,21656599
JoyNBCBoston,33166794
JoyceGarbaciak,1055548392
JoyceTaylorKING,37504289
NewsJuan,257087249
judefox10,34763028
DraftTheJudge16,989825148
JudiGatson,15985390
JudyHsuABC7,890987028
JuliaFello,38515532
juliabachison,17136234
JulieBanovic,16796839
juliebologna1,758449486762872832
JulieChang,39779068
JulieDurda,1314153752
KIRO7Julie,24207116
JulieGrantEsq,1389961118
KTVUJulieHaener,1416737641
juliemartin,169171481
JulieNelsonKARE,115513883
thejuliewright,32761866
ABC7Jummy,73279371
JungleJackHanna,36081866
JustinWeather,11996222
Justin_Biegel,966433195
JustinFarmerWSB,18952304
JymNBC4,14347328
kaceymontoya,21351688
KaciAitchison,26191204
kaciehollinsTV,41028523
kailanikm,18852393
WeatherKait,94092217
KaitlinCody,96300991
kaitlinmonte,26778374
KaitMcGrathNBC,358482180
Fox5Kaitlyn,46735715
kaitlynross1,21019917
KaityTong,36957327
KalaRamaTV,311010319
KarenBrownTV,1711156550
KarenKENS5,21122870
KarenFox29,33717365
KarenJordanABC7,952519075
KarenMintonWSB,549565058
karenrogers6abc,246288568
KarinMcCay11,727614391
KRayWFTV,960703016
KBartleyWHIO,172333841
katebilo,14400523
KateBolduan,20109439
kchappellnews,978573830
KatieGarnerTV,283679833
katenorthrup,79331974
KateSullivanTV,53373891
KatherineABC13,825002395318964225
kgnews,62040739
KathleenFOX5,36491863
kathrynjanicek,16889498
KathyBrockABC7,779042317
KathyMykleby,716668098
KathySabine9,858879240
KatieCorradoTV,24561638
Katie_Ferrell,80124896
KatieKimNBC,33607084
KatieMcCallTV,1283766950
KatiePavlich,48459553
KatieWallsWSB,241642996
KatrinaPierson,25429371
katymorganwx,112396470
Kayla10TVOhio,247906638
KaylaFOX46,32175389
KeelyChalmers,27726076
KeithCarson,106115722
KeithJones,627419447
KeithLeventhal,590293293
kmondayWSOC9,2527664784
KelceyFox9,27140592
KeliRabon,19089046
KellieBurnsNBC2,295631788
KellyAvellino,33019298
kellycass,23583214
KellyKIRO7,1421950832
KellyKOMO4,19045025
KellyRippin,436962820
SwoopefromABC2,460628514
ABC7Kellye,230033372
KenRosatoABC7,414068542
Ken_Rosenthal,90959399
KentEhrhardt,459927719
Kentwainscott,226444702
keristen_holmes,2469956282
KcharlesNewsNow,365953272
KerryHannon,76923829
KerryTNews,633474897
kdietzlocal4,23193243
KevinFrazier,22284074
KevinHarned,26606157
Kevin10TV,107191237
ABC7Kevin,41312893
KevinKIRO7,320325866
KevinReeceWFAA,37485554
KevinRothWx,629656316
kevinmd,11274452
KGWRodHill,569660424
ABC7Kidd,21036972
kimcunninghamwx,339445941
ABC4Kim,19917401
Kholdenfox8,250826187
KimInsley,18692955
WeatherKim,15105989
kimrussell7,260293048
ABC7Suiters,96230455
KimiEvansPPPB,109154183
kiptyn,43836019
kirkhawkins,42961636
kirstincoletv,125408014
KoriOnAir,505974882
RandyMcIlvoy,27457697
zavalacourtney,16281065
KPRCAmyDavis,43424692
AnoushahKPRC,535633228
KPRCBritta,2510935759
KPRCDominique,33602679
KPRCFrank,29244348
HaleyKPRC,61295210
Jen_BauerKPRC,274048921
JenniferReyna,424260012
JustinKPRC,860818170
KPRCkeithg,49517704
LaurenKPRC,703174194
conflenti,15453695
PhilArcher_KPRC,21965258
KPRCRachel,38031406
kprcrobert,19548143
KPRC2Sara,30349240
KPRCSofiaOjeda,77341283
SyanRhodesWESH,114443686
Kris_Carr,15620557
KrisKetzKMBC,21765964
KrisNBC,14763494
WBTVGoodNews,44661401
10NewsKeogh,19983868
KristenLuehrs,411782585
kristeNicoleFOX,2377628113
KColemanFox8,1559591150
KristiNBC5,250373881
KristiPowersFOX,480658623
klustout,22587869
KristinKaneNews,172891009
KristinSmithTV,22815663
KJohnsonTV,1967991931
KristySFox10,1119471194
Kristyn10TV,561489171
Kristyn_leon,347636005
KSLAWeather,41818861
AngelaSchilling,246445158
KyeMartinNBC,636901736
KylaCampbellDC,388297236
KylaGrogan,590256586
KyleHD,9908832
KylieEricaMar,30276642
LaneStone,29495278
LarryHogan,2987671552
LarryPotash,17780809
LSewardKHOU,113674377
LarryYellen,17739212
LauraBehnke,53527449
laurabenanti,780416875
LauraBetker,73132889
LauraBorchers1,1253369522
lauraevans_DC,17059095
LauraGarciaCann,107409628
LauraPodesta7,113061302
LauralPorter,20659086
ldemarcofox5,303394187
LFluker_WJTV,605943202
laurengilger,45910951
LaurenGlassberg,389588105
LaurenJonesWAFF,60420964
LaurenPettyNBC,190231615
LaurenScala4NY,16256478
SimonettiLauren,252668016
LaurenCBS4,257573181
LaurenYoung,19785281
LawrenceZarian,86373400
LJLiveTV,22068490
leahhopeABC7,23003861
abc7leanne,2321478247
LeeGoldbergABC7,121598314
redheadnewsgirl,20764535
leethomastv,47392385
LeezaGibbons,36220671
LeighBrock2,337734101
LenKieseTV,330476431
SenTaylor,54635428
abc7leo,2918383877
RealLeonHarris,2375549899
leslifoster,16223917
abc7leslie,575596284
LesterHoltNBC,25300308
ABC7Leticia,915553476
LewisHowes,14777649
LeynaNguyenTV,343523495
liamdutton,20481072
libertechan,263955214
LCJReviews,114947295
LilyJangTV,24736925
LinSueCooney,31534060
LindaWSB,417003912
lindawfox10,37345029
LindaYuABC7,17363645
lindsaycohen,61328496
LindsayLogue,18713798
LindsayShively,9852432
lindsayWRDW,2510833896
lindseybranwall,262181538
LindseyDFitness,306801369
LindseyFOX26,43365602
LindseyWSLS,37302566
LinhBuiWJZ,2187561072
LinziKIRO7,91913196
LisWiehl,28264799
lisabensonkshb,366316665
lisabreck,37010605
LisaChavarria,120128015
LisaEvers,24749214
LisaGHart,21382295
LisaKHOU,381721212
LisaWTOL,342355339
_LisaRobertson_,2993081224
LisaSpoonerTV,40381812
LisaTeachman,1375977096
LisaLive5,746342341
WatchLAeveryday,56813273
LizClaman,20707966
LizDueweke,21578875
lizfosterWSOC9,46288226
lizpalka,23023441
lizquirantes,762135822
LizReyesFOX8,250828588
KarenDrewTV,24026035
LoganSherrillTV,2303322370
RepLoisCapps,292990703
LonnieQuinnTV,259282548
abc7lori,292090221
LoriMatsukawa,39389232
LoriStokes7,389565872
LoriWilsonWISH,1525816070
LouCanellis,145726193
LOUISAGUIRRE,58812606
LourdesWGN,79807791
stoiawsyx6,705813006
LucyYang7,389812363
RealLyndaCarter,188061519
LynetteRomero,47701842
mackvbart,2584795638
Maddie_Gardner,284277683
MagdalenaDoris,1488975356
pix11magee,413172561
MaggieWZDX,2337391771
maggieKTVB7,15922161
Maggie_Vespa,406733783
MaggieWade,29345753
MalaryPullenTV,1129642622
MalikaDudley,23109988
WFXTMalini,62144220
MalloryABC15,3392215785
mandiwoodruff,15073513
mannymovies,16055866
abc7marc,18820634
marcclarke,16278789
abc7marccr,913664130
marcfox10,37311028
marcusleshock,20154627
MargotKimABC30,65418745
MariCockerell,634670207
MariaBartiromo,208155240
mariawsyx6,84928925
MariaKIRO7,60760196
twcMariaLaRosa,177569765
mariasearth,33912889
MariaSansone,15908473
MariaSantanaCNN,18171703
MarianneLyles,134296355
marwilliamson,21522338
mckennamarilyn,632438346
MarinaMarraco,123406653
MarionBrooksNBC,241269753
MarkArum,29210241
Mark_Baden,474414285
markchapin,26275791
TheDavenReport,63768433
twcMarkElliot,119464925
MarkGiangreco7,415243401
standupkid,8732322
MarkKriski,132298262
MarkNelsenKPTV,710222783737794560
ocktalks,34451959
KLTVWX,23717371
MarkSteines,23609308
MarkStrehlWx,1134486056
TrafficTeam9,61768651
MarkWrightKING5,24737373
super_markette,109146282
MarkSuppelsa,17050594
MarlaTellez,134934361
MarshallMcPeek,14345492
Martha4Congress,369044765
marthamaccallum,46681100
WxMartha,1600456964
MarthaSugalski,22777708
MSaltWFTV,39903024
martyconiglio,211274764
MHurstKENS5,338342743
MaryCalviTV,235161193
maryconwaymedia,395255068
MaryJoKilroy,15281574
MaryKingTV,113130918
MaryLeeSeattle,24730186
MLoosKATU,1015836109
MurphyPIX,182164838
Mary_Nam,274898227
Mary_Wasson,22756869
MaryEllenFox43,132969987
mattacklandfox5,16877032
Matt_NBC4,20102044
mattbrode,42613330
matternst34,68823780
mkibbe,24466578
matt_odonnell,16008571
MattPearl11,40921361
MattWalshBlog,1500129642
Zaffino,20651640
eastwx,15547936
Maureen10TV,22689414
MaureenUmehFox5,608419783
MaurielleFOX2,23457739
MaxFosterCNN,155954125
MayorGinther,4664670797
NYCMayor,19834403
MayorBowser,976542720
